state,x,y
Rajasthan,-274,109
Gujrat,-305,10
Maharashtra,-225,-73
Goa,-228,-172
Karnataka,-206,-211
Kerala,-194,-288
Tamil Nadu,-140,-279
Andhra Pradesh,-135,-178
Telangana,-129,-117
Odisha,10,-35
Chattisgarh,-49,-15
Jharkhand,23,33
Bihar,38,81
Madhya Pradesh,-164,21
Uttar Pradesh,-109,121
West Bengal,82,25
Delhi,-149,163
Haryana,-186,182
Punjab,-201,220
Himachal pradesh,-155,250
Uttarakhand,-109,209
Jammu and Kashmir,-237,300
Ladakh,-162,324
Sikkim,107,134
Assam,188,110
Meghalaya,167,87
Arunachal Pradesh,217,162
Nagaland,228,99
Manipur,246,74
Tripura,182,43
Mizoram,220,27